GeneSymbol	TotalExons	FailingExons	MinCoverage%	WorstExon(chr:start-end)	Status
ACTA1	6	0	100.0	1:229567235-229567399	PASS
B3GALNT2	12	0	100.0	1:235613510-235613665	PASS
B4GAT1	2	0	100.0	11:66113509-66113721	PASS
BIN1	19	0	99.9	2:127825728-127825841	PASS
CACNA1S	44	0	100.0	1:201008948-201009220	PASS
CCDC78	14	0	100.0	16:772759-772799	PASS
CFL2	4	0	100.0	14:35182060-35182193	PASS
CHKB	11	0	100.0	22:51017599-51017694	PASS
CNTN1	23	0	100.0	12:41302224-41302305	PASS
COL12A1	65	0	100.0	6:75796252-75796283	PASS
COL4A1	52	0	100.0	13:110802699-110802801	PASS
COL4A2	47	0	100.0	13:110960240-110960304	PASS
COL6A1	35	0	100.0	21:47401754-47401871	PASS
COL6A2	27	0	100.0	21:47531380-47531515	PASS
COL6A3	43	0	100.0	2:238233406-238233467	PASS
DAG1	2	0	100.0	3:49547957-49548262	PASS
DNM2	21	0	100.0	19:10828908-10829089	PASS
DOK7	7	0	100.0	4:3465092-3465166	PASS
DOLK	1	0	100.0	9:131707955-131709592	PASS
DPM1	9	0	100.0	20:49551658-49551783	PASS
DPM2	4	0	100.0	9:130697990-130698069	PASS
DPM3	1	0	100.0	1:155112427-155112726	PASS
DYSF	NA	NA	NA	NA	MISSING
ECEL1	17	0	100.0	2:233344852-233344972	PASS
EPG5	44	0	100.0	18:43432421-43432624	PASS
FKRP	1	1	0.0	19:47258697-47260205	FAIL
FKTN	9	0	100.0	9:108337303-108337428	PASS
GMPPB	8	0	100.0	3:49759174-49759590	PASS
GOLGA2	26	0	100.0	9:131019335-131019570	PASS
HACD1	7	0	100.0	10:17632352-17632455	PASS
INPP5K	10	0	100.0	17:1399106-1399183	PASS
ISPD	10	0	100.0	7:16131309-16131434	PASS
ITGA7	25	0	100.0	12:56078831-56079082	PASS
KBTBD13	1	0	100.0	15:65369143-65370540	PASS
KLHL40	6	0	100.0	3:42727100-42728272	PASS
KLHL41	6	0	100.0	2:170366278-170367408	PASS
KLHL9	1	0	100.0	9:21332994-21334868	PASS
LAMA2	65	1	12.07	6:129371052-129371243	FAIL
LAMP2	9	0	100.0	X:119565167-119565327	PASS
LARGE1	14	0	100.0	22:33670402-33670620	PASS
LMOD3	3	0	100.0	3:69158235-69158282	PASS
MEGF10	24	0	100.0	5:126666990-126667126	PASS
MICU1	11	0	100.0	10:74127942-74128123	PASS
MSTO1	14	0	83.0189	1:155581469-155581628	PASS
MTM1	14	0	100.0	X:149761066-149761149	PASS
MTMR14	19	0	100.0	3:9691257-9691436	PASS
MYBPC1	31	0	100.0	12:101988838-101988883	PASS
MYBPC3	33	0	100.0	11:47353411-47353442	PASS
MYH2	38	0	100.0	17:10424586-10424759	PASS
MYH3	39	0	100.0	17:10531959-10532006	PASS
MYH7	38	0	100.0	14:23882052-23882090	PASS
MYH8	38	0	100.0	17:10293760-10293930	PASS
MYL1	6	0	100.0	2:211155759-211155808	PASS
MYO18B	42	0	100.0	22:26157049-26157108	PASS
NEB	181	14	0.0	2:152437300-152437428	FAIL
NUP88	17	0	100.0	17:5289515-5289599	PASS
ORAI1	2	0	100.0	12:122064637-122064966	PASS
PIEZO2	52	0	100.0	18:10671513-10671786	PASS
PLEC	32	0	100.0	8:144990334-144996573	PASS
POMGNT1	22	0	100.0	1:46654380-46654662	PASS
POMGNT2	1	0	100.0	3:43121170-43122933	PASS
POMK	2	0	100.0	8:42958681-42958983	PASS
POMT1	19	0	100.0	9:134379595-134379737	PASS
POMT2	21	0	100.0	14:77743708-77743834	PASS
RYR1	106	0	100.0	19:38924459-38924524	PASS
SCN4A	24	0	100.0	17:62018120-62019363	PASS
SELENON	13	0	49.2611	1:26126711-26126914	PASS
SIL1	9	0	100.0	5:138282795-138283172	PASS
SPEG	41	0	100.0	2:220299689-220300097	PASS
SRPK3	15	0	100.0	X:153046531-153046610	PASS
STAC3	11	0	100.0	12:57637584-57637703	PASS
STIM1	12	0	100.0	11:3877490-3877649	PASS
TMEM38A	6	0	100.0	19:16772018-16772162	PASS
TMEM5	6	0	100.0	12:64173730-64173919	PASS
TNNI2	6	0	100.0	11:1860916-1860949	PASS
TNNT1	13	0	100.0	19:55644272-55644338	PASS
TNNT3	15	0	100.0	11:1944094-1944131	PASS
TPM2	9	0	100.0	9:35683145-35683248	PASS
TPM3	10	0	100.0	1:154140402-154140426	PASS
TRAPPC11	29	0	100.0	4:184585010-184585234	PASS
TTN	362	0	100.0	2:179391728-179392044	PASS
VMA21	3	0	100.0	X:150565770-150565843	PASS
VPS33B	23	0	100.0	15:91542194-91542294	PASS
ZC4H2	5	0	84.6995	X:64138911-64139094	PASS
