chromosome	StartPosition	FullPosition	EndPosition	GeneSymbol	readCount	meanCoverage	percentage30
19	47258697	19-47258697-47260205	47260205	FKRP	0	0.0	0.0
6	129371052	6-129371052-129371243	129371243	LAMA2	48	3.77	12.07
2	152437300	2-152437300-152437428	152437428	NEB	0	0.0	0.0
2	152438967	2-152438967-152439191	152439191	NEB	1	0.464286	0.0
2	152442010	2-152442010-152442138	152442138	NEB	0	0.0	0.0
2	152442908	2-152442908-152443033	152443033	NEB	0	0.0	0.0
2	152443877	2-152443877-152444101	152444101	NEB	0	0.0	0.0
2	152446392	2-152446392-152446724	152446724	NEB	0	0.0	0.0
2	152449519	2-152449519-152449743	152449743	NEB	0	0.0	0.0
2	152452563	2-152452563-152452691	152452691	NEB	0	0.0	0.0
2	152453461	2-152453461-152453586	152453586	NEB	0	0.0	0.0
2	152454430	2-152454430-152454654	152454654	NEB	0	0.0	0.0
2	152456945	2-152456945-152457277	152457277	NEB	0	0.0	0.0
2	152458404	2-152458404-152458532	152458532	NEB	6	0.671875	0.0
2	152459090	2-152459090-152459215	152459215	NEB	0	0.0	0.0
2	152464976	2-152464976-152465200	152465200	NEB	18	7.38393	0.0
